I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-58,0,58,29,-58,29,-19,-87,-117,-117,-97,-78
-58,0,58,29,-58,29,-19,-87,-117,-117,-97,-78
-58,0,58,29,-58,29,-19,-87,-117,-117,-97,-78
-58,0,58,29,-58,29,-19,-87,-117,-117,-97,-78
-58,0,58,29,-58,29,-19,-78,-107,-117,-87,-78
-58,0,58,29,-58,29,-19,-78,-107,-117,-87,-78
-58,0,58,29,-58,29,-19,-78,-107,-117,-87,-78
-58,0,58,29,-58,29,-19,-78,-107,-117,-87,-78
-58,0,58,29,-58,29,-9,-78,-117,-117,-97,-78
-58,0,58,29,-58,29,-9,-78,-117,-117,-97,-78
-58,0,58,29,-58,29,-9,-78,-117,-117,-97,-78
-58,0,58,29,-58,29,-9,-78,-117,-117,-97,-78
-68,0,68,34,-68,34,-9,-87,-107,-117,-87,-78
-68,0,68,34,-68,34,-9,-87,-107,-117,-87,-78
-68,0,68,34,-68,34,-9,-87,-107,-117,-87,-78
-68,0,68,34,-68,34,-9,-87,-107,-117,-87,-78
-63,0,63,31,-63,31,-9,-87,-107,-117,-87,-78
-58,0,58,29,-58,29,-9,-87,-107,-117,-87,-78
-53,0,53,26,-53,26,-9,-87,-107,-117,-87,-78
-48,0,48,24,-48,24,-9,-87,-107,-117,-87,-78
-58,0,58,29,-58,29,-9,-78,-97,-107,-87,-78
-58,0,58,29,-58,29,-9,-78,-97,-107,-87,-78
-58,0,58,29,-58,29,-9,-78,-97,-107,-87,-78
-58,0,58,29,-58,29,-9,-78,-97,-107,-87,-78
-48,0,48,24,-48,24,-9,-87,-102,-112,-87,-78
-48,0,48,24,-48,24,-9,-87,-107,-117,-87,-78
-48,0,48,24,-48,24,-9,-87,-112,-122,-87,-78
-48,0,48,24,-48,24,-9,-87,-117,-126,-87,-78
-48,9,58,19,-53,34,-19,-87,-107,-117,-97,-78
-48,9,58,19,-53,34,-19,-87,-107,-117,-97,-78
-48,9,58,19,-53,34,-19,-87,-107,-117,-97,-78
-48,9,58,19,-53,34,-19,-87,-107,-117,-97,-78
-48,0,48,24,-48,24,-19,-87,-117,-126,-87,-78
-43,4,48,19,-46,26,-19,-87,-117,-126,-92,-78
-34,4,39,14,-36,21,-19,-87,-117,-126,-92,-78
-29,4,34,12,-31,19,-19,-87,-117,-126,-92,-78
-39,0,39,19,-39,19,-29,-97,-117,-126,-102,-78
-34,0,34,17,-34,17,-29,-97,-117,-126,-102,-78
-34,4,39,14,-36,21,-29,-97,-117,-126,-102,-78
-34,4,39,14,-36,21,-29,-97,-117,-126,-102,-78
-48,4,53,21,-51,29,-19,-87,-107,-122,-87,-82
-48,4,53,21,-51,29,-19,-87,-107,-122,-87,-82
-58,4,63,26,-61,34,-19,-87,-107,-122,-87,-82
-58,0,58,29,-58,29,-19,-87,-107,-122,-87,-82
-53,0,53,26,-53,26,-19,-87,-117,-112,-97,-73
-53,4,58,24,-56,31,-19,-87,-117,-122,-97,-78
-53,4,58,24,-56,31,-19,-87,-117,-122,-97,-78
-53,4,58,24,-56,31,-19,-87,-117,-122,-97,-78
-48,-4,43,26,-46,19,-9,-87,-107,-122,-87,-78
-43,-4,39,24,-41,17,-9,-87,-107,-122,-87,-78
-43,-4,39,24,-41,17,-9,-87,-107,-122,-92,-78
-48,-9,39,29,-43,14,-9,-87,-102,-122,-92,-73
-39,-9,29,24,-34,9,-19,-87,-112,-122,-92,-82
-39,-4,34,21,-36,14,-19,-87,-112,-122,-92,-82
-39,-4,34,21,-36,14,-19,-87,-112,-122,-92,-82
-39,-4,34,21,-36,14,-19,-87,-112,-122,-92,-82
