I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6
-9, -19, -9, 14, 0, -14, 48, 78, 58, 9, 292, -9
-14, -14, 0, 14, -7, -7, 58, 82, 63, 14, 268, -14
-14, -4, 9, 9, -12, 2, 73, 87, 68, 19, 253, -14
-19, 0, 19, 9, -19, 9, 87, 97, 73, 24, 244, -14
-14, 19, 34, -2, -24, 26, 102, 107, 82, 24, 239, -9
-19, 24, 43, -2, -31, 34, 117, 117, 87, 29, 224, -9
-19, 34, 53, -7, -36, 43, 126, 122, 92, 39, 214, -4
-9, 48, 58, -19, -34, 53, 126, 136, 92, 43, 209, 0
0, 73, 73, -36, -36, 73, 126, 141, 97, 53, 219, 9
4, 82, 78, -43, -36, 80, 112, 131, 97, 58, 219, 14
0, 82, 82, -41, -41, 82, 97, 117, 92, 58, 219, 14
4, 82, 78, -43, -36, 80, 73, 107, 87, 53, 219, 14
4, 82, 78, -43, -36, 80, 58, 107, 92, 48, 219, 14
0, 82, 82, -41, -41, 82, 53, 92, 87, 43, 214, 14
-4, 87, 92, -41, -48, 90, 48, 82, 82, 43, 214, 14
0, 87, 87, -43, -43, 87, 29, 82, 82, 43, 214, 14
4, 82, 78, -43, -36, 80, 14, 78, 82, 43, 214, 19
19, 63, 43, -41, -12, 53, 4, 73, 73, 39, 204, 14
9, 53, 43, -31, -17, 48, 0, 73, 73, 29, 195, 4
4, 43, 39, -24, -17, 41, 0, 63, 63, 34, 190, 0
-4, 34, 39, -14, -21, 36, 0, 63, 58, 34, 185, -4
-14, 19, 34, -2, -24, 26, 0, 63, 58, 29, 185, -4
-14, 0, 14, 7, -14, 7, 9, 63, 53, 24, 180, -4
-19, -19, 0, 19, -9, -9, 9, 63, 43, 9, 156, -19
-34, -39, -4, 36, -14, -21, 24, 63, 39, 0, 141, -29
-43, -48, -4, 46, -19, -26, 29, 63, 29, -9, 136, -39
-48, -48, 0, 48, -24, -24, 34, 63, 24, -14, 136, -48
-48, -58, -9, 53, -19, -34, 34, 53, 14, -19, 117, -53
