I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
78,-13,-91,-32,84,-52,52,-141,-286,-205,-157,-62
99,14,-85,-56,92,-35,45,-128,-200,-137,-116,-44
271,138,-132,-204,201,3,-197,-153,241,400,247,168
638,732,94,-685,272,413,-867,-579,838,1482,1161,852
849,1041,192,-945,328,617,-1284,-919,1059,2055,1723,1270
543,431,-112,-487,327,159,-941,-1050,59,818,983,789
234,-55,-289,-89,262,-172,-423,-817,-627,-294,81,191
180,-95,-275,-42,228,-185,-85,-308,-248,-169,-122,-21
151,-44,-195,-53,173,-119,39,-90,-95,-88,-109,-47
142,-18,-160,-62,151,-88,73,-4,-46,-52,-98,-43
119,-23,-142,-47,130,-83,104,44,-15,-24,-88,-41
106,-17,-123,-44,114,-70,103,66,-18,-27,-84,-36
97,-22,-119,-37,108,-70,110,84,9,6,-74,-32
91,-18,-109,-36,100,-63,110,90,5,6,-71,-30
124,16,-108,-69,116,-46,114,115,38,39,-56,-41
137,35,-102,-86,119,-33,115,139,61,66,-22,-36
138,41,-97,-89,117,-28,114,165,94,96,1,-29
156,60,-96,-108,126,-18,116,200,143,128,6,-19
170,74,-96,-122,132,-10,113,253,198,171,25,6
174,82,-92,-128,133,-4,128,309,254,220,65,28
171,77,-95,-123,133,-9,159,384,327,276,92,43
197,102,-95,-149,146,4,173,468,408,343,116,53
223,123,-100,-173,161,11,191,557,489,408,147,66
237,139,-98,-188,168,20,223,632,561,464,175,79
264,160,-105,-212,184,27,230,683,605,495,193,87
259,152,-107,-205,183,22,221,709,592,492,203,89
233,146,-88,-189,160,29,214,706,569,483,205,89
230,140,-90,-185,160,25,204,666,538,466,206,93
227,129,-98,-177,162,15,199,562,433,403,199,86
177,104,-74,-140,125,15,181,418,303,308,171,74
151,84,-67,-117,109,9,148,286,195,221,125,65
142,74,-68,-108,105,3,109,189,93,141,76,52
146,62,-84,-104,115,-11,85,105,13,80,52,41
149,58,-91,-103,120,-16,82,46,-38,47,25,30
122,52,-69,-87,95,-8,76,22,-74,8,-2,25
138,49,-89,-93,114,-20,73,10,-92,-16,-5,20
134,44,-90,-89,112,-23,67,2,-94,-15,-5,14
131,40,-91,-85,111,-26,66,-7,-96,-13,-9,9
129,34,-95,-81,112,-30,71,-13,-95,-10,-10,4
123,27,-96,-75,109,-34,69,-23,-95,-10,-10,-1
114,23,-90,-68,102,-33,73,-35,-110,-22,-27,-4
95,20,-76,-57,85,-28,75,-36,-117,-43,-37,-7
112,17,-95,-64,103,-39,75,-34,-114,-45,-34,-12
91,12,-79,-51,85,-33,72,-36,-116,-46,-36,-15
95,10,-84,-52,90,-37,66,-34,-115,-43,-34,-18
116,14,-102,-65,109,-44,62,-36,-116,-49,-36,-21
100,26,-74,-63,87,-24,57,-55,-137,-68,-32,-27
114,32,-82,-73,98,-25,52,-64,-157,-72,-30,-34
126,20,-106,-72,115,-43,48,-62,-157,-88,-46,-39
100,9,-92,-54,96,-41,44,-70,-165,-99,-63,-46
83,-3,-86,-40,85,-44,40,-78,-179,-112,-71,-55
83,-22,-105,-31,94,-63,38,-84,-181,-115,-70,-60
66,-26,-92,-20,79,-59,33,-90,-178,-119,-70,-62
54,-17,-71,-19,63,-43,30,-85,-184,-131,-70,-66
96,-12,-108,-42,102,-59,35,-80,-190,-123,-70,-61
123,-4,-127,-60,125,-65,44,-74,-180,-119,-69,-54
103,2,-101,-52,102,-49,49,-69,-170,-113,-64,-48
103,8,-95,-56,99,-43,53,-63,-161,-108,-61,-41
110,24,-86,-66,98,-31,55,-60,-152,-104,-58,-34
101,35,-65,-68,83,-15,48,-58,-149,-97,-53,-29
93,54,-39,-73,65,8,48,-52,-141,-94,-51,-21
106,79,-26,-92,66,26,29,-75,-138,-88,-43,-14
128,108,-19,-118,73,44,-4,-87,-129,-85,-24,2
113,108,-5,-110,59,51,-5,-85,-137,-91,-18,20
103,65,-38,-84,70,14,-1,-82,-174,-94,-40,10
105,25,-80,-64,93,-27,11,-80,-189,-100,-57,-15
81,-9,-90,-36,86,-49,31,-80,-186,-101,-60,-27
59,-35,-94,-12,77,-64,45,-83,-191,-112,-76,-39
39,-70,-109,16,74,-89,54,-87,-196,-122,-89,-61
44,-102,-146,29,96,-124,61,-81,-191,-117,-91,-72
52,-86,-138,17,95,-112,63,-91,-202,-125,-88,-68
47,-93,-140,23,93,-116,66,-77,-185,-113,-97,-72
45,-81,-126,18,86,-103,64,-94,-207,-128,-112,-75
41,-82,-123,21,82,-103,68,-64,-181,-113,-116,-74
34,-73,-108,20,71,-90,77,-100,-224,-158,-121,-75
73,-19,-92,-27,82,-55,56,-101,-150,-98,-74,-35
252,121,-131,-186,191,-5,-217,-137,329,484,312,239
633,733,99,-683,267,416,-912,-599,929,1581,1237,936
796,973,176,-885,310,574,-1275,-940,1047,1994,1675,1286
448,346,-102,-396,275,121,-901,-1047,-11,672,868,751
166,-122,-288,-22,227,-204,-382,-762,-594,-301,27,166
110,-179,-289,34,200,-234,-56,-237,-177,-135,-128,-6
82,-126,-208,22,145,-167,56,-55,-73,-92,-111,-28
84,-106,-190,11,138,-148,87,34,-25,-47,-109,-43
78,-96,-174,9,126,-135,104,70,-7,-29,-100,-46
79,-86,-166,4,123,-126,104,93,-3,-23,-95,-44
78,-85,-163,4,121,-124,113,125,31,3,-88,-44
77,-76,-153,0,115,-114,117,134,40,14,-81,-39
74,-72,-147,-1,111,-109,122,162,64,52,-69,-41
103,-53,-156,-25,130,-104,125,180,83,62,-60,-33
121,-33,-155,-44,138,-94,130,211,132,98,-45,-18
106,-13,-119,-46,112,-66,133,248,165,128,-20,-5
126,-3,-129,-62,128,-66,138,295,218,172,2,5
159,8,-151,-83,155,-72,146,356,278,221,28,13
159,17,-142,-88,150,-62,157,427,348,271,56,22
161,29,-132,-95,146,-51,170,506,423,335,78,37
190,55,-135,-122,162,-40,194,596,503,399,114,67
211,75,-135,-142,173,-30,217,675,570,457,145,86
217,83,-134,-150,176,-25,234,735,610,495,170,96
209,74,-136,-141,172,-31,243,742,615,499,192,108
199,65,-134,-132,166,-34,236,731,590,486,190,103
198,56,-142,-127,170,-43,236,703,548,462,179,95
193,39,-153,-116,173,-57,222,587,447,401,156,87
176,25,-151,-101,164,-63,187,448,324,314,127,79
144,-6,-150,-69,147,-78,150,313,211,225,97,69
109,-36,-144,-36,127,-90,121,192,108,144,55,43
84,-61,-145,-11,115,-103,103,105,20,74,17,23
