I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-102,-29,73,65,-87,21,43,39,39,24,9,19
-97,-4,92,51,-95,43,43,39,39,24,14,19
-102,-4,97,53,-100,46,34,34,39,24,9,9
-87,-14,73,51,-80,29,39,34,34,24,9,9
-87,-29,58,58,-73,14,43,34,34,19,14,19
-97,-29,68,63,-82,19,43,34,39,24,19,24
-117,-24,92,70,-104,34,39,34,39,19,14,19
-107,-19,87,63,-97,34,43,34,39,19,14,19
-97,-29,68,63,-82,19,53,43,43,24,24,29
-112,-43,68,78,-90,12,48,43,43,24,19,24
-112,-9,102,61,-107,46,43,39,43,19,19,19
-102,0,102,51,-102,51,43,43,48,34,24,24
-112,-14,97,63,-104,41,48,39,43,24,19,19
-92,-14,78,53,-85,31,58,43,48,34,29,29
-68,0,68,34,-68,34,58,48,53,34,29,34
-92,4,97,43,-95,51,48,39,43,29,29,24
-102,9,112,46,-107,61,48,39,48,34,29,29
-82,24,107,29,-95,65,63,48,53,34,29,34
-97,19,117,39,-107,68,73,53,58,34,34,34
-102,24,126,39,-114,75,73,53,63,39,29,29
-102,14,117,43,-109,65,82,63,68,48,39,34
-97,14,112,41,-104,63,82,68,73,58,43,43
-102,14,117,43,-109,65,82,63,68,53,39,34
-117,4,122,56,-119,63,73,53,58,43,29,24
-112,4,117,53,-114,61,73,63,68,48,39,34
-87,39,126,24,-107,82,58,48,63,43,29,29
-107,19,126,43,-117,73,68,48,58,43,29,29
-102,9,112,46,-107,61,78,63,63,39,29,29
-102,9,112,46,-107,61,82,68,73,48,34,29
-78,34,112,21,-95,73,68,58,68,43,39,34
-73,43,117,14,-95,80,58,48,58,39,34,34
-87,29,117,29,-102,73,53,43,48,34,34,29
-87,29,117,29,-102,73,53,43,53,39,34,34
-87,34,122,26,-104,78,48,43,48,34,29,34
-87,34,122,26,-104,78,39,34,43,29,24,29
-82,29,112,26,-97,70,29,34,43,29,24,29
-87,19,107,34,-97,63,34,29,39,29,24,29
-68,29,97,19,-82,63,29,24,39,29,24,24
-58,9,68,24,-63,39,24,24,39,29,29,34
-78,-19,58,48,-68,19,24,19,29,19,19,19
-102,-14,87,58,-95,36,19,19,24,14,9,14
-92,0,92,46,-92,46,14,19,24,14,9,14
-68,9,78,29,-73,43,19,29,34,24,29,29
-53,9,63,21,-58,36,9,34,43,34,34,34
-82,-29,53,56,-68,12,0,34,43,34,34,34
-78,-34,43,56,-61,4,0,34,48,39,39,39
-68,-39,29,53,-48,-4,9,34,48,39,34,39
-58,-43,14,51,-36,-14,24,39,48,39,34,43
-34,-53,-19,43,-7,-36,29,43,43,39,29,39
-43,-48,-4,46,-19,-26,24,29,29,24,19,29
